	pid	text	explanation	target_of_sarcasm
2762	822506680285921280	'class and decorum of the left .... # thelackof # sigh '	such a language shows inelegance and indecency of the left.	indecency of the left
2763	685908290010742784	'if only old trafford had some sort of studio facility to keep pundits dry ! '	Old trafford has a studio facilty for these pundits yet they are reporting in the rain	pundits reporting in rain instead of studio
2764	704526780267233280	yes let 's clearly make trump our president ! ! ! such an intelligent choice y 'all  # makedonalddrumpfagain	the author doesn't want trump as their president given his hateful rhetoric.	making trump as president
2765	834269436383211520	'oh yeah anime is definitely for kids . '	not all anime is for kids given such graphic images of death.	violence in anime
2766	838880741576617984	'<user> thanks for safely delivering my package  # newwaystodeliver # shouldhaveused <user> # shouldhave used <user>'	the author is pissed at <user> for carelessly delivering his package.	<user>'s bad delivery
2767	708279313934786561	'what a bargain !  # freefromproblems'	This deal is stupid, they are selling it overpriced	high price
2768	823579308438470658	'clearly dictionaries are part of the global # liberal # elite # conspiracy to destroy # america . # maga ! # dts # americafirst # satire '	dictionaries are not part of the global liberal elite conspiracy to destroy america.	dictionaries being part global conspiracy to destroy america
2769	859056671179636737	'dump your furniture on the sidewalk & leave .  the city of # guelph will clean it up . # guelph # students # university of # guelph'	you shouldn't dump your furniture on the sidewalk and leave, the city of guelph isn't responsible to clean up your mess.	dumping furniture on city sidewalk
2770	729456215462268929	'<user> loving that invisible bacon and cheese on my asiago ranch club .  # itsnothard'	the author is pissed at <user> for the lack of bacon and cheese on her asiago ranch club.	lack of bacon and cheese on asiago ranch club
2771	900534128193531904	"'"" <user> : more proof that <user> \'s base is abandoning him  "" guy in red shirt is faking it !'"	<user>: more proof that <user>'s base isn't abandoning him, guy in red shirt isn't faking it.	<user>'s large base
2772	900701970184511488	for my friends who are not familiar with massachusetts , here 's a helpful visual on how easy it is to mixup chicopee and watertown . 	it's difficult to mixup chicopee and watertown.	people who mixup chicopee and watertown
2773	824946021490913280	'well thank you ! !  # narrowminds'	it's sad that our ancestors manipulate the thought process of even our future generations.	narrow mind of the ancestors
2774	830854308321193984	good job <user> kitchen ... your restaurant 's attention to detail is obvious from the first item on the menu  # espresso	the restaurant's disregard to detail is obvious, it should be espresso and not expresso.	restaurant's attention to detail
2775	831450522435596288	'the world is full of clever people !  emoji_220 emoji_92'	it's not clever to pull out the side stand when the cycle is already tied with a lock.	people who put side stand for a cycle tied with a lock
2776	930549420613136384	i came across a hateful and racist product . i felt offended and angry that a company would be so blatant in it 's hate . the oppression of european americans and the military has to stop . i call for the boycott of # crackerjack .  # hypocrisy # doublestandards	crackerjack isn't hateful or racist, the author didn't really get offended or angry.	crackerjack
2777	880442793805570049	can 't wait to leave this beautiful weather for this 	the author can't wait to leave this bad weather since it's too hot.	hot weather
2778	930902037549629440	'nice job there # dailytelegraph in celebrating # marriageequality '	it's not a nice job by dailytelegraph in celebrating marriage equality.	dailytelegraph's celebration of marriage equality
2779	840262112870092800	'now i can say # thismademyday <user> , , , , love you krk # funny # talented  # intelligent , all at the same time , , , , # whykrk emoji_929 emoji_929 emoji_929 emoji_929 emoji_657 emoji_657'	the author doesn't love krk, he's not funny, talented or intelligent.	author's love for krk
2780	871300215004831744	'my weekend has been smashing , yours ?  # masterchefau'	the author's weekend hasn't been smashing, his dish is broken.	author's dish being broken
2781	845927200666849280	'# fashion  because you wanna be cool while cabling a datacenter'	nobody needs fashion while cabling a datacenter.	author needing fashion while cabling a datacenter
2782	853058589233209344	'nothing better than missing your bus  emoji_4593'	missing your bus is frustrating.	author missing the bus
2783	827391205977661441	'spent 45min in drive-thru <user> for raw hamburger . awesome !  # gross # undercooked â€“ at mcdonalds'	the author is pissed at <user> since he spent 45min in drive-thru and still got a raw undercooked hamburger.	raw undercooked hamburger
2784	937180416863358976	'bruh just got <num> likes on a instagram photo for the first time i ΓÇÖ m blowin up  : mercies may emoji_2903 emoji_3245 emoji_2131'	the author's not blowing up just by getting <num> likes on a instagram photo.	number of likes on a instagram photo
2785	938342400300388352	'few sights are more impressive than a gym user who not only parks as close as they can to the doors , but uses a disabled space to do so .  # wednesdaythoughts'	it's not an impressive sight when a gym user not only parks as close as they can to the doors but uses a disabled space to do so.	gym user for parking in disabled space
2786	851883625989767168	'this is the <user> new logo . looks nothing like the <user> logo . ( rolls eyes ) nice job min love the originality . '	the author hates the unoriginality since the <user> new logo looks like the <user> logo.	unoriginality in the <user>'s logo
2787	737068226983514112	<user> it 's rained every day for a week dropping at least <num> inches . # environmentallyfriendly 	since it's rained every day for a week dropping at least <num> inches, there is no need to water the garden.	wastage of water
2788	713994689205170176	thank the lord for <user> ΓÇô she knows what she 's talking about 	<user> doesn't know what she's talking about because education isn't improving if 'appreciated' and 'gratitude' are considered synonyms.	<user>'s comment on education improving
2789	901119702201638912	'yes # traffic improved without # uber . not  <user> # edsa # fridaynight # nlex # balintawak to # makati'	traffic didn't improve without uber.	uber helping the traffic improve
2790	918425410035216392	'<user> . you do a great service . '	<user> doesn't do a great service, given the torn up package.	<user>'s bad service
2791	849685305334669312	lol no , i 've got all the answers  # faith # christianity # confusing # toomanyquestions emoji_156 emoji_73	the author doesn't want to get answers from such faith.	questions of faith
